,n_cells,highly_variable,highly_variable_rank,means,variances,variances_norm,targeted
BANCR,3515,True,1070.0,0.018080329500474713,0.022248389371492656,1.1562674372124904,0.0
BARD1,84902,True,1238.0,0.6288533071592051,0.9932522250337656,1.1264241608227736,0.0
BASP1,134285,True,367.0,1.6040903190889202,4.971033144000172,1.615815857789997,0.0
BATF2,17813,True,1349.0,0.09456168272736863,0.11647886851663002,1.1088628672191563,0.0
BATF3,50260,True,692.0,0.33031688735798775,0.5223562254332071,1.2933774430673515,0.0
BCL2A1,21695,True,70.0,0.17228141468717179,0.7799288410626886,3.9810879000521364,0.0
BDKRB1,15209,True,439.0,0.09222710948643975,0.15532779247635364,1.516829990104707,0.0
BDKRB2,11249,True,1409.0,0.057667169662473,0.06899154539290936,1.101405856990415,0.0
BDNF,128622,True,647.0,1.389983809344714,3.3207683791989435,1.322880553065623,0.0
BEX1,56143,True,101.0,0.5774193104523752,2.4774657644012725,3.1370298607383513,0.0
BEX2,2370,True,1003.0,0.011888435835928577,0.014737623835292108,1.1701895429618094,0.0
BEX3,141839,True,1279.0,1.5180596898549261,3.184178217143593,1.1201827353452152,0.0
BHLHE41,60975,True,540.0,0.4247639053878648,0.759435180767146,1.3973620905116062,0.0
BIRC3,10987,True,642.0,0.05950639141023818,0.08587950096705155,1.3266609585954272,0.0
BIRC5,138307,True,316.0,2.2190508515000436,8.637544835863084,1.7353426457891432,0.0
BIRC7,5022,True,298.0,0.02933122961835002,0.05502750491496403,1.759998900433295,0.0
BLVRA,156505,True,1414.0,1.8398730432469372,4.136339921319719,1.1003503035552,0.0
BLVRB,155708,True,1184.0,1.8912428277231719,4.4439431532530325,1.1349160883722453,0.0
BMP2,15375,True,84.0,0.10768849729620643,0.43317118954613415,3.6114396217208515,0.0
BMP4,4134,True,980.0,0.020648818724286443,0.025891586407599608,1.177074330917031,0.0
BMP6,918,True,948.0,0.004659973306058424,0.005830797552223387,1.1866884179021402,0.0
BNIP3,131055,True,655.0,1.2599632155650446,2.8899697508767606,1.3161704466741408,0.0
BOLA2B,13271,False,,0.06389575603021644,0.06615205628111592,0.9483372824169637,1.0
BORA,16080,True,1299.0,0.08518211047255615,0.10534522416731938,1.1164460479424203,0.0
BRCA1,88268,True,856.0,0.7057061740059717,1.2458098160252702,1.2164278388394965,0.0
BRIP1,29186,True,1371.0,0.16099382186609915,0.20097582792274724,1.106044167145622,0.0
BST2,144586,True,461.0,1.9830663174744412,6.240143289534666,1.4849555711360993,0.0
BTG1,155018,True,237.0,2.282630132965183,10.376868119297155,1.9970773400485466,0.0
BUB1,48036,True,568.0,0.3260100813202035,0.5492305020032437,1.3808088513343555,0.0
BUB1B,36938,True,831.0,0.2228485462809652,0.319922659140985,1.2270415748821584,0.0
BUB3,125663,True,1439.0,1.1444821054273095,2.118268780774074,1.0966705367544123,0.0
BZW2,144098,False,,1.3949831901553478,2.300478991556333,0.9118736417086175,1.0
C11orf96,2097,True,13.0,0.02630408160457191,0.42705065493106686,14.689432285045026,0.0
C12orf75,185817,True,477.0,3.764639241928752,16.85245549933679,1.4680322252387699,0.0
C19orf48,90299,True,1992.0,0.6509835937750829,0.9655939959837913,1.04688803537716,1.0
C1QBP,213682,False,,9.241006847775735,41.96642627109278,0.7886096616780761,1.0
C1R,68833,True,561.0,0.5250909291051108,0.9720652127371029,1.3865484915537551,0.0
C1S,91451,True,575.0,0.8102253390635105,1.6891649786218834,1.3747963482606649,0.0
C5AR1,1911,True,1150.0,0.009553862594999702,0.011544950162891813,1.1404333114710339,0.0
C5AR2,820,True,303.0,0.004412297559476579,0.008144695448009859,1.7544434878785284,0.0
C5orf46,21997,True,317.0,0.14732120333720136,0.283938809815498,1.7215516941473943,0.0
C6orf141,78230,True,1437.0,0.524733175248937,0.7687770098619536,1.0975038364027832,0.0
C6orf226,28517,True,2158.0,0.14912373238176924,0.17332125567173703,1.0373359999530722,1.0
CA3,2289,True,1269.0,0.011406844106463879,0.013551737768464,1.1215751514131327,0.0
CA8,22984,True,1089.0,0.12552573763799896,0.16191010068677397,1.1532169981991658,0.0
CA9,10859,True,1149.0,0.0568553436042325,0.07040087494465025,1.140785507930373,0.0
CABYR,8239,True,1268.0,0.04194434634242548,0.05033078143293739,1.1216556322812032,0.0
CACNA2D3,20437,True,1039.0,0.1115320579561247,0.14449136775740065,1.1620703700404629,0.0
CACNG6,9647,True,391.0,0.05838726396272021,0.09971622710022071,1.5713435985850484,0.0
CACNG8,43811,True,537.0,0.29101441564576863,0.48841159467976697,1.398630084139592,0.0
CACYBP,201343,True,1327.0,5.6099015259577945,24.83433785228587,1.1123095812042505,0.0
CADM1,78912,True,376.0,0.6676879469056585,1.532697911335973,1.6079876571711798,0.0
CADPS,1253,True,1239.0,0.00628362542253941,0.007510074180011051,1.1263516698728298,0.0
CALD1,208608,True,368.0,7.990349819059108,66.41537108418058,1.6141544827278596,0.0
CAMK2N1,58235,True,257.0,0.4518431203474799,1.1147162578861882,1.9086012158133696,0.0
CARD16,87935,True,1236.0,0.6370908190270013,1.0102702153164997,1.1264905867872819,0.0
CARMN,692,True,706.0,0.0036142312649350768,0.004839569527318863,1.2854668585284204,0.0
CASP1,93440,True,1477.0,0.70914152834282,1.1252062140289456,1.0917155271810899,0.0
CAV1,204130,True,247.0,11.049168222284395,142.58081566734094,1.9438954010981238,0.0
